證券代號,市值佔 大盤比重,排行,證券名稱
2468,0.004%,864,華經
2471,0.0049%,817,資通
2472,0.0186%,440,立隆電
2474,0.2208%,76,可成
2476,0.0178%,452,鉅祥
2477,0.0061%,766,美隆電
2478,0.0123%,567,大毅
2480,0.0247%,365,敦陽科
2481,0.052%,208,強茂
2482,0.0086%,677,連宇
2483,0.0052%,801,百容
2484,0.0104%,624,希華
2485,0.0126%,562,兆赫
2486,0.0192%,430,一詮
2488,0.0052%,802,漢平
2489,0.0205%,415,瑞軒
2491,0.0023%,931,吉祥全
2492,0.0862%,147,華新科
2493,0.0137%,529,揚博
2495,0.0125%,565,普安
2496,0.0019%,948,卓越
2497,0.016%,479,怡利電
2498,0.0867%,146,宏達電
2501,0.0342%,299,國建
2504,0.0581%,191,國產
2505,0.0137%,528,國揚
2506,0.0066%,747,太設
2509,0.0064%,754,全坤建
2511,0.0348%,297,太子
2514,0.0122%,571,龍邦
2515,0.0288%,336,中工
2516,0.0022%,940,新建
2520,0.0317%,312,冠德
2524,0.0215%,403,京城
2527,0.0121%,572,宏璟
2528,0.0139%,527,皇普
2530,0.0239%,374,華建
2534,0.018%,445,宏盛
2535,0.0203%,418,達欣工
2536,0.0164%,470,宏普
2537,0.004%,865,聯上發
2538,0.01%,634,基泰
2539,0.0681%,168,櫻花建
2540,0.0494%,219,愛山林
2542,0.1356%,113,興富發
2543,0.0044%,837,皇昌
2545,0.0245%,368,皇翔
2546,0.0162%,475,根基
2547,0.0149%,502,日勝生
2548,0.0469%,231,華固
2597,0.0356%,292,潤弘
2601,0.0133%,543,益航
2603,0.4116%,43,長榮
2605,0.0206%,414,新興
2606,0.0672%,170,裕民
2607,0.0566%,197,榮運
2608,0.0315%,315,嘉里大榮
2609,0.3037%,56,陽明
2610,0.2806%,63,華航
2611,0.0045%,836,志信
2612,0.0152%,498,中航
2613,0.0058%,776,中櫃
2614,0.0152%,497,東森
2615,0.2645%,68,萬海
2616,0.0084%,682,山隆
2617,0.0215%,404,台航
2618,0.3686%,51,長榮航
2630,0.0173%,458,亞航
2633,0.1482%,104,台灣高鐵
2634,0.0978%,138,漢翔
2636,0.0194%,429,台驊投控
2637,0.0636%,179,慧洋-KY
2642,0.0074%,709,宅配通
2645,0.0757%,159,長榮航太
2701,0.0109%,608,萬企
2702,0.0065%,750,華園
2704,0.0353%,294,國賓
2705,0.0069%,735,六福
2706,0.0149%,503,第一店
2707,0.0591%,188,晶華
2712,0.0071%,718,遠雄來
2722,0.0149%,504,夏都
2723,0.0416%,258,美食-KY
2727,0.0425%,251,王品
2731,0.0283%,339,雄獅
2739,0.0088%,667,寒舍
2748,0.0174%,455,雲品
2753,0.0205%,416,八方雲集
2801,0.3734%,49,彰銀
2809,0.0748%,161,京城銀
2812,0.1456%,106,台中銀
2816,0.0089%,665,旺旺保
2820,0.037%,283,華票
2832,0.0156%,488,台產
2834,0.2162%,80,臺企銀
2836,0.0285%,337,高雄銀
2838,0.1097%,131,聯邦銀
2845,0.0902%,143,遠東銀
2849,0.041%,260,安泰銀
2850,0.032%,311,新產
2851,0.0359%,290,中再保
2852,0.0092%,658,第一保
2855,0.0554%,201,統一證
2867,0.0452%,241,三商壽
2880,0.5677%,30,華南金
2881,1.5183%,7,富邦金
2882,1.2551%,9,國泰金
2883,0.3952%,47,開發金
2884,0.7564%,21,玉山金
2885,0.5705%,29,元大金
2886,1.0493%,11,兆豐金
2887,0.4258%,39,台新金
2888,0.2789%,64,新光金
2889,0.0774%,154,國票金
2890,0.4232%,40,永豐金
2891,0.9614%,14,中信金
2892,0.7184%,22,第一金
2897,0.051%,213,王道銀行
2901,0.0035%,889,欣欣
2903,0.0579%,192,遠百
2904,0.0029%,908,匯僑
2905,0.0253%,361,三商
2906,0.0072%,715,高林
2908,0.0191%,431,特力
2910,0.0116%,584,統領
2911,0.0025%,926,麗嬰房
2912,0.5424%,32,統一超
2913,0.0383%,275,農林
2915,0.128%,116,潤泰全
2923,0.0784%,152,鼎固-KY
2929,0.0022%,941,淘帝-KY
2939,0.0025%,925,凱羿-KY
2945,0.0052%,800,三商家購
3002,0.0026%,924,歐格
3003,0.0229%,383,健和興
3004,0.0094%,651,豐達科
3005,0.0768%,155,神基
3006,0.0417%,257,晶豪科
3008,0.5429%,31,大立光
3010,0.0357%,291,華立
3011,0.0074%,708,今皓
3013,0.0134%,539,晟銘電
3014,0.0465%,234,聯陽
3015,0.0174%,454,全漢
3016,0.0355%,293,嘉晶
3017,0.2308%,74,奇鋐
3019,0.0335%,303,亞光
3021,0.0038%,876,鴻名
3022,0.0271%,348,威強電
3023,0.1504%,101,信邦
3024,0.0093%,652,憶聲
3025,0.0063%,759,星通
3026,0.0302%,321,禾伸堂
3027,0.0089%,666,盛達
3028,0.0129%,558,增你強
3029,0.0195%,428,零壹
3030,0.0269%,350,德律
3031,0.0058%,775,佰鴻
3032,0.0129%,557,偉訓
3033,0.0274%,346,威健
3034,0.4825%,36,聯詠
3035,0.1515%,100,智原
3036,0.1137%,127,文曄
3037,0.5262%,33,欣興
3038,0.0111%,600,全台
3040,0.0035%,888,遠見
3041,0.0069%,734,揚智
3042,0.0512%,212,晶技
3043,0.0026%,923,科風
3044,0.1661%,93,健鼎
3045,0.6213%,26,台灣大
3046,0.0106%,615,建碁
3047,0.0066%,746,訊舟
3048,0.0117%,583,益登
3049,0.0163%,471,和鑫
3050,0.0042%,849,鈺德
3051,0.0079%,696,力特
3052,0.0055%,787,夆典
3054,0.0031%,901,立萬利
3055,0.0083%,683,蔚華科
3056,0.0259%,356,總太
3057,0.0024%,930,喬鼎
3058,0.007%,719,立德
3059,0.0186%,439,華晶科
3060,0.0052%,799,銘異
3062,0.013%,551,建漢
3090,0.0182%,444,日電貿
3092,0.0082%,692,鴻碩
3094,0.0047%,826,聯傑
3130,0.0126%,563,一零四
3138,0.0125%,564,耀登
3149,0.0058%,774,正達
3164,0.004%,866,景岳
