Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-12-12,153.0,156.0,152.0,154.5,84.7258071899414,11976863,0.0,0.0
2022-12-13,156.5,158.0,153.5,155.0,85.0,22067912,0.0,0.0
2022-12-14,155.0,155.5,151.0,152.0,83.35484313964844,22547689,0.0,0.0
2022-12-15,152.5,157.0,152.5,157.0,86.0967788696289,21657961,0.0,0.0
2022-12-16,154.5,170.0,154.0,164.0,89.93548583984375,81350779,0.0,0.0
2022-12-19,164.5,167.5,160.0,162.0,88.83871459960938,43931274,0.0,0.0
2022-12-20,162.0,166.0,158.0,158.5,86.91935729980469,38151949,0.0,0.0
2022-12-21,161.0,165.5,160.0,164.0,89.93548583984375,38085074,0.0,0.0
2022-12-22,167.0,172.0,165.5,171.5,94.04838562011719,60855886,0.0,0.0
2022-12-23,169.0,170.5,165.5,167.5,91.85484313964844,36715409,0.0,0.0
2022-12-26,168.5,168.5,162.5,162.5,89.11290740966797,23661784,0.0,0.0
2022-12-27,164.0,167.0,162.0,162.5,89.11290740966797,19106328,0.0,0.0
2022-12-28,162.0,164.0,159.0,159.0,87.19355010986328,20189077,0.0,0.0
2022-12-29,159.0,161.0,157.5,160.0,87.74193572998047,17346004,0.0,0.0
2022-12-30,161.5,164.5,161.5,163.0,89.38710021972656,21686678,0.0,0.0
